Date,Time,Open,High,Low,Close,Volume
2009.10.12,00:00,1.03143,1.03518,1.02328,1.02642,45579
2009.10.13,00:00,1.02641,1.02771,1.01924,1.02156,53849
2009.10.14,00:00,1.02159,1.02264,1.01273,1.01403,56853
2009.10.15,00:00,1.01409,1.01954,1.01170,1.01530,55975
2009.10.16,00:00,1.01533,1.02230,1.01287,1.01809,57609
2009.10.19,00:00,1.01859,1.02277,1.01024,1.01125,52472
2009.10.20,00:00,1.01128,1.01674,1.00813,1.01221,54822
2009.10.21,00:00,1.01213,1.01527,1.00343,1.00634,57050
2009.10.22,00:00,1.00630,1.01216,1.00396,1.00488,55969
2009.10.23,00:00,1.00491,1.01005,1.00323,1.00864,54070
2009.10.26,00:00,1.00765,1.02012,1.00516,1.01860,49215
2009.10.27,00:00,1.01859,1.02496,1.01481,1.02151,60283
2009.10.28,00:00,1.02154,1.02759,1.01910,1.02630,60918
2009.10.29,00:00,1.02631,1.02854,1.01672,1.01809,57824
2009.10.30,00:00,1.01822,1.02749,1.01563,1.02623,60100
2009.11.02,00:00,1.02411,1.02669,1.01645,1.02158,64810
2009.11.03,00:00,1.02155,1.03374,1.01944,1.02626,64039
2009.11.04,00:00,1.02625,1.02757,1.01272,1.01484,61032
2009.11.05,00:00,1.01486,1.01926,1.01319,1.01611,60606
2009.11.06,00:00,1.01612,1.02008,1.01261,1.01722,53129
2009.11.09,00:00,1.01541,1.01720,1.00543,1.00786,53975
2009.11.10,00:00,1.00779,1.01085,1.00602,1.00767,55018
2009.11.11,00:00,1.00768,1.00986,1.00345,1.00774,61293
2009.11.12,00:00,1.00772,1.01929,1.00584,1.01734,71950
2009.11.13,00:00,1.01735,1.01848,1.01014,1.01239,63432
2009.11.16,00:00,1.01163,1.01432,1.00466,1.00770,63827
2009.11.17,00:00,1.00771,1.02081,1.00599,1.01676,73802
2009.11.18,00:00,1.01670,1.01673,1.00765,1.00997,64375
2009.11.19,00:00,1.00996,1.01944,1.00977,1.01345,73111
2009.11.20,00:00,1.01343,1.02224,1.01220,1.01786,69945
2009.11.23,00:00,1.01850,1.01855,1.00715,1.00991,60256
2009.11.24,00:00,1.00992,1.01518,1.00755,1.00876,61633
2009.11.25,00:00,1.00888,1.00941,0.99549,0.99629,48433
2009.11.26,00:00,0.99635,1.00693,0.99167,1.00331,55547
2009.11.27,00:00,1.00326,1.01753,1.00246,1.00576,66950
2009.11.30,00:00,1.00431,1.00749,0.99932,1.00507,59414
2009.12.01,00:00,1.00499,1.00738,0.99692,0.99969,51690
2009.12.02,00:00,0.99968,1.00254,0.99782,1.00181,43994
2009.12.03,00:00,1.00180,1.00186,0.99593,1.00090,45948
2009.12.04,00:00,1.00091,1.01908,0.99862,1.01650,49445
2009.12.07,00:00,1.01550,1.02436,1.01362,1.01939,76598
2009.12.08,00:00,1.01940,1.02855,1.01635,1.02677,81991
2009.12.09,00:00,1.02681,1.02984,1.02182,1.02570,63994
2009.12.10,00:00,1.02571,1.02999,1.02367,1.02563,46854
2009.12.11,00:00,1.02571,1.03672,1.02345,1.03435,43633
2009.12.14,00:00,1.03527,1.03528,1.02943,1.03177,46260
2009.12.15,00:00,1.03171,1.04283,1.03113,1.04033,43395
2009.12.16,00:00,1.04031,1.04245,1.03448,1.03861,45193
2009.12.17,00:00,1.03864,1.05066,1.03822,1.04678,54676
2009.12.18,00:00,1.04675,1.04953,1.03866,1.04249,50851
2009.12.21,00:00,1.04060,1.04808,1.03922,1.04601,41507
2009.12.22,00:00,1.04604,1.05026,1.04415,1.04814,41456
2009.12.23,00:00,1.04824,1.04970,1.03590,1.03935,38649
2009.12.24,00:00,1.03932,1.03956,1.03202,1.03872,23765
2009.12.28,00:00,1.03616,1.03876,1.03272,1.03520,25286
2009.12.29,00:00,1.03518,1.03841,1.02781,1.03664,37907
2009.12.30,00:00,1.03666,1.04206,1.03503,1.03640,37760
2009.12.31,00:00,1.03637,1.03837,1.02844,1.03454,31439
2010.01.04,00:00,1.03468,1.04189,1.02624,1.02991,50797
2010.01.05,00:00,1.02993,1.03590,1.02519,1.03366,51610
2010.01.06,00:00,1.03370,1.03787,1.02479,1.02804,49522
2010.01.07,00:00,1.02805,1.03699,1.02435,1.03482,49965
2010.01.08,00:00,1.03480,1.03835,1.02156,1.02362,49238
2010.01.11,00:00,1.02395,1.02397,1.01319,1.01600,50193
2010.01.12,00:00,1.01602,1.02074,1.01443,1.01818,48497
2010.01.13,00:00,1.01818,1.02183,1.01369,1.01885,49628
2010.01.14,00:00,1.01887,1.02325,1.01593,1.01858,48532
2010.01.15,00:00,1.01859,1.02856,1.01798,1.02518,54794
2010.01.18,00:00,1.02793,1.02906,1.02349,1.02478,40093
2010.01.19,00:00,1.02477,1.03542,1.02273,1.03262,56597
2010.01.20,00:00,1.03261,1.04616,1.03227,1.04376,62519
2010.01.21,00:00,1.04375,1.04946,1.04034,1.04253,65424
2010.01.22,00:00,1.04252,1.04429,1.03746,1.04116,61384
2010.01.25,00:00,1.04039,1.04232,1.03673,1.03960,51979
2010.01.26,00:00,1.03958,1.04911,1.03780,1.04602,59538
2010.01.27,00:00,1.04603,1.05242,1.04460,1.04913,60325
2010.01.28,00:00,1.04914,1.05538,1.04759,1.05241,60729
2010.01.29,00:00,1.05242,1.06404,1.04819,1.06052,61349
2010.02.01,00:00,1.06148,1.06224,1.05529,1.05593,53202
2010.02.02,00:00,1.05595,1.06058,1.05406,1.05506,52933
2010.02.03,00:00,1.05506,1.05997,1.04973,1.05854,54829
2010.02.04,00:00,1.05867,1.06747,1.05791,1.06671,57179
2010.02.05,00:00,1.06671,1.07937,1.06460,1.07232,70735
2010.02.08,00:00,1.07604,1.07720,1.06831,1.07271,55799
2010.02.09,00:00,1.07286,1.07457,1.06083,1.06413,60905
2010.02.10,00:00,1.06411,1.07198,1.06176,1.06757,56395
2010.02.11,00:00,1.06759,1.07821,1.06261,1.07052,56953
2010.02.12,00:00,1.07054,1.08269,1.06993,1.07536,56280
2010.02.15,00:00,1.07681,1.08025,1.07531,1.07740,35784
2010.02.16,00:00,1.07740,1.07879,1.06525,1.06642,51242
2010.02.17,00:00,1.06642,1.07972,1.06465,1.07830,52588
2010.02.18,00:00,1.07831,1.08636,1.07480,1.08624,58236
2010.02.19,00:00,1.08625,1.08975,1.07490,1.07548,56208
2010.02.22,00:00,1.07673,1.07872,1.07383,1.07555,49897
2010.02.23,00:00,1.07562,1.08477,1.07145,1.08335,59036
2010.02.24,00:00,1.08328,1.08416,1.07383,1.08086,57099
2010.02.25,00:00,1.08083,1.08777,1.07835,1.08065,60863
2010.02.26,00:00,1.08072,1.08156,1.06942,1.07327,56858
2010.03.01,00:00,1.07419,1.08703,1.07195,1.07850,60658
2010.03.02,00:00,1.07852,1.08868,1.07424,1.07524,58493
2010.03.03,00:00,1.07523,1.07626,1.06481,1.06792,60047
2010.03.04,00:00,1.06792,1.07947,1.06683,1.07709,54633
2010.03.05,00:00,1.07709,1.08091,1.07340,1.07398,48064
2010.03.08,00:00,1.07240,1.07475,1.06748,1.07355,33114
2010.03.09,00:00,1.07353,1.08032,1.07260,1.07491,36586
2010.03.10,00:00,1.07493,1.07935,1.06843,1.06993,34446
2010.03.11,00:00,1.06994,1.07302,1.06807,1.06846,31640
2010.03.12,00:00,1.06846,1.06953,1.05758,1.05764,35244
2010.03.15,00:00,1.05888,1.06413,1.05779,1.06192,32376
2010.03.16,00:00,1.06191,1.06254,1.05329,1.05513,37984
2010.03.17,00:00,1.05510,1.05645,1.05064,1.05426,36485
2010.03.18,00:00,1.05428,1.06461,1.05325,1.05760,40191
2010.03.19,00:00,1.05762,1.06342,1.05394,1.06115,37134
2010.03.22,00:00,1.06064,1.06608,1.05619,1.05799,36856
2010.03.23,00:00,1.05801,1.06381,1.05463,1.05745,41701
2010.03.24,00:00,1.05746,1.07378,1.05580,1.07202,46687
2010.03.25,00:00,1.07201,1.07504,1.06728,1.07416,41287
2010.03.26,00:00,1.07415,1.07417,1.06353,1.06503,38715
2010.03.29,00:00,1.05962,1.06898,1.05921,1.06273,34114
2010.03.30,00:00,1.06272,1.06796,1.05870,1.06598,34813
2010.03.31,00:00,1.06596,1.06832,1.04883,1.05387,38438
2010.04.01,00:00,1.05385,1.06095,1.04343,1.05402,39057
2010.04.02,00:00,1.05401,1.06426,1.05377,1.06076,25238
2010.04.05,00:00,1.06143,1.06431,1.05836,1.06231,23174
2010.04.06,00:00,1.06226,1.07211,1.06129,1.06902,36047
2010.04.07,00:00,1.06902,1.07465,1.06795,1.07383,35238
2010.04.08,00:00,1.07366,1.07850,1.07150,1.07305,36447
2010.04.09,00:00,1.07298,1.07616,1.06550,1.06561,37118
2010.04.12,00:00,1.05712,1.06156,1.05500,1.05989,41478
2010.04.13,00:00,1.05986,1.06023,1.05332,1.05379,37094
2010.04.14,00:00,1.05386,1.05598,1.05014,1.05169,37495
2010.04.15,00:00,1.05168,1.06113,1.05062,1.05586,35569
2010.04.16,00:00,1.05582,1.06326,1.05581,1.06126,39757
2010.04.19,00:00,1.06298,1.06893,1.06140,1.06282,36166
2010.04.20,00:00,1.06286,1.06893,1.06018,1.06791,35041
2010.04.21,00:00,1.06794,1.07236,1.06583,1.07014,33965
2010.04.22,00:00,1.07015,1.07984,1.06731,1.07820,39048
2010.04.23,00:00,1.07817,1.08491,1.07143,1.07250,44363
2010.04.26,00:00,1.07456,1.07865,1.06993,1.07123,40088
2010.04.27,00:00,1.07125,1.08980,1.07023,1.08871,49402
2010.04.28,00:00,1.08854,1.09233,1.08141,1.08544,57447
2010.04.29,00:00,1.08539,1.08678,1.08065,1.08316,43263
2010.04.30,00:00,1.08317,1.08455,1.07468,1.07745,40446
2010.05.03,00:00,1.07567,1.08885,1.07536,1.08597,30756
2010.05.04,00:00,1.08605,1.10483,1.08403,1.10428,45510
2010.05.05,00:00,1.10420,1.11958,1.10225,1.11762,55069
2010.05.06,00:00,1.11750,1.12448,1.10168,1.11314,74096
2010.05.07,00:00,1.11313,1.11753,1.10500,1.10791,83822
2010.05.10,00:00,1.10015,1.11161,1.09228,1.10978,83843
2010.05.11,00:00,1.10981,1.11323,1.10353,1.11239,71912
2010.05.12,00:00,1.11233,1.11378,1.10587,1.11023,61195
2010.05.13,00:00,1.11030,1.11920,1.10767,1.11846,49186
2010.05.14,00:00,1.11849,1.13354,1.11507,1.13346,59472
2010.05.17,00:00,1.13398,1.14447,1.12973,1.13087,72307
2010.05.18,00:00,1.13094,1.15147,1.12672,1.15028,75396
2010.05.19,00:00,1.15034,1.15851,1.14237,1.15084,84202
2010.05.20,00:00,1.15083,1.15735,1.14518,1.15144,83884
2010.05.21,00:00,1.15124,1.15797,1.14492,1.14951,81401
2010.05.24,00:00,1.15035,1.16182,1.14903,1.16054,51248
